name,address,birthdate,phone
Christopher Thompson,433 E 240th St,1986-04-07,838-762-0657
Justin King,3921½ Broadway,1953-04-17,516-486-0446
Karen Brown,2823 NW Park Ln,1972-01-23,564-293-2158
Albert Goodwin,3600 Dogwood St,1976-06-22,472-881-2375
Cameron Ford,6834 Bliss Terrace,1962-12-12,516-485-3912
David Hughes,206 Martense St,1972-02-17,838-574-2848
Charles Reyes II,3995 Park Ln,1982-08-10,326-948-4231
Edward Lawson,45-10 Astoria Blvd N,1998-07-01,680-440-1329
Sharon Natalie Martinez,897½ Bushwick Ave,1950-02-11,845-707-4455
Teresa Edwards,89 W 90th St,1962-08-15,716-578-3489
Yolanda Wilcox,3-32 Cresthaven Ln,1974-12-21,516-347-3118
Rachael Figueroa,2681 W Cedar Rd,1970-10-16,805-626-9940
Daniel Tran,23 Cooper Pl,1976-08-28,934-307-4627
Cheryl Hopkins,2729 Maple Pl,1983-07-10,586-764-9950
John Miller,792 Louisiana Ave,1946-06-19,680-681-3215
Angela Blackburn,897S Morris Park Ave,1949-10-08,347-613-2519
Thomas Livingston,819C W 181st St,1990-07-23,716-480-6448
Jennifer Richards,4847 N 13th Pl,1962-01-27,914-854-5116
Timothy Reyes,14 Maple Dr SW,1944-05-24,814-746-2807
Susan Wright,2348 Kings Highway,1985-05-16,718-525-9088
Jeffrey Stewart,828 Kinsella St,1945-02-12,631-678-4040
Stephanie Bolton,1945 NW Park Ln,1964-01-12,763-403-4885
Cassandra Sparks,2457 Tiebout Ave,1987-02-08,516-693-1446
Michael Cunningham,767 Vincent Ave,1998-12-21,518-545-1297
Andrea Cantrell,82-74 214th St,1952-11-03,838-342-2879
Joshua Thompson,210A State St,1957-11-29,585-987-4549
Patricia Reilly,88 Sunrise Terrace,1957-08-23,516-849-6006
Meghan Nguyen,1562 9th Ln,1974-10-02,310-657-6948
Ashley Avery,137-1 38th Ave,1990-09-21,585-873-6858
Christopher Beltran,59-54 84th St,1942-10-20,585-256-1098
Sydney Vargas,2448 NE 9th St,1992-04-20,606-638-2014
Kristin Moore,707 SW Maple Way,1962-12-21,814-304-6951
Erika Murphy,88-54 54th Ave,1957-01-05,646-491-2500
Sherry Mary Leach,71-17 Burchell Ave,1999-10-10,516-288-5637
John Durham,302 Cathedral Pkwy,1970-10-14,929-381-3221
Anthony Liu Jr.,1451 SW Park Rd,1974-02-05,409-565-2620
Tiffany Macias,4920 E Park Ave,1965-06-04,309-848-6842
Shane Mayo,2456A 2nd Ave,1987-02-08,315-465-5558
Steven Moody,4518 Park Dr,1983-07-13,315-966-7694
Julie Cox,252 SE Park Dr,1970-03-03,845-832-6591
Kathy Sexton,261 Locust Ave,1992-07-13,838-213-3630
Audrey Skinner,1444A Bath Ave,1973-04-01,680-961-7550
Candice Sherry Hughes,277C Lee Ave,1950-10-26,585-885-3479
Mark Johnson,114-91 Guy R Brewer Blvd,1946-03-21,934-669-3345
Kathy House,419A Ave T,1966-05-23,914-312-6986
Caroline Hudson,56 E 161st St,1948-06-18,585-533-3827
Gloria Amy Martinez,93-6 54th Ave,1974-11-01,516-689-3866
Carrie Smith,163 Bush St,1960-04-07,838-863-5343
David Rhodes,325A Convent Ave,1980-10-04,838-309-0853
Scott Bowman,40-59 39th St,1983-04-24,516-219-0072
Crystal Schneider,91-36 82nd St,1992-02-29,716-831-7921
Edwin Patton,1907 NE 10th Pl,1985-08-11,719-624-8437
Jennifer Matthews,214-39 47th Rd,1979-02-22,838-912-9026
Anthony Stevens,591 E 147th St,1966-12-18,516-305-6946
Kimberly Cox,230 Park Way,1999-01-01,425-856-4314
Susan Floyd,102-58 Queens Blvd,1949-08-31,838-723-4787
John Johnson,1361 E New York Ave,1960-10-04,718-508-6914
Brian Wright,664 W 184th St,1961-08-17,516-425-9913
Monica Martinez,106-44 104th St,1984-10-24,516-971-6112
Bobby Mosley,158-54 98th St,1936-03-05,838-993-8585
Jamie Williams,19-12 49th St,1971-10-30,347-824-9368
John Payne,1878 Strauss St,1959-09-12,607-441-4161
Melissa Mcclain,422 Pelton Ave,1967-01-11,315-511-9912
Jeffrey Jefferson,283 Knickerbocker Ave,1960-11-11,716-781-7165
Gabriel Campbell III,3618 Park Way NE,1962-04-24,978-702-3107
Lisa Matthews,411 Knickerbocker Ave,1966-05-26,631-905-6303
Cynthia Robinson,86-5 122nd St,1971-10-14,838-836-0098
James Wright,145-38 38th Ave,1994-09-28,212-225-4771
David Sims,871 Lee Pl SW,1998-06-26,826-684-8941
Rebecca Harris,2051 Ave L,1980-05-02,516-815-5770
Jeremy Kemp,113A Devoe St,1960-03-03,315-208-1468
Corey Reed,93-10 168th Pl,1955-01-18,585-221-3087
Kristina Stewart,41 Village Rd E,2000-10-15,914-564-9055
David Garcia,3124 E Park Ave,1959-02-19,740-588-2900
Jason Powell,94-19 40th Dr,1962-11-14,631-949-5893
Cassandra Haney,691 92nd St,1991-03-23,516-425-8774
Bradley Cunningham,840 E 7th Ln,1998-11-20,716-469-4302
Bradley Murray,766 SE 5th Way,1993-01-16,470-243-0970
Yolanda Samantha Huff,82½ Bush Ave,1956-01-18,516-941-6773
Joshua Flynn,665 Rear Vanderbilt St,1963-11-08,929-393-5217
Kenneth Knapp,106A Ave C,1998-01-09,607-458-2778
Isaiah Sanders,64-47 75th Pl,1961-03-02,347-240-2620
Jodi Rogers,79 Crooke Ave,1955-07-16,212-845-8004
Kristi Lynn Hansen,16 Adler Pl,1935-12-20,838-859-0331
Erica Best,3121 Nostrand Ave,1963-04-05,315-397-5558
Karen Williams,2932 S Park St,1982-04-08,618-356-7707
Justin Miller,83-28 165th St,1973-04-05,716-711-1400
Lisa White,2088B 3rd Ave,1994-10-18,585-389-9119
Jeremiah Perez,963A 39th St,1973-07-31,838-218-8348
Melanie Smith,5359B 13th Ave,1967-03-30,516-401-6978
Jack Andrade,23-29 Sound St,1963-12-01,585-506-7644
Robert Munoz,690 SE Apache Way,1970-04-10,480-619-1255
Rebecca Brown,170 W 88th St,1977-02-12,585-413-4754
Albert Martinez,2036A Grand Concession,1995-06-09,516-760-7313
Robert Flores,1950 NW Park Pl,1970-04-02,914-508-7022
Frank Moran,1223B Clay Ave,1981-10-01,914-242-6138
Katherine Stevens,423 E 134th St,1991-11-01,680-594-1174
Amy Monroe,226 E 181st St,1958-05-03,845-683-7641
Kristin Montgomery,1862 Magnolia St,1964-10-26,318-255-1424
Justin Ramos Jr.,1026 Pelham Pkwy N,1991-11-04,631-511-1153
Natasha Marsh,2537 1st Dr SW,1971-02-28,561-981-0504
Mark Miller,748 Main St,1997-01-26,680-353-7457
Melissa Davis,133 Franklin St,1987-06-04,516-427-5767
Joshua Stewart,1447 W 7th Dr,1964-10-27,650-923-1357
Michael Cook,2298 Woodhull Ave,1994-06-01,929-731-9577
Christopher Contreras Jr.,631 W 139th St,1955-03-09,934-439-7865
Travis Smith,2192 76th Rd,1980-01-30,771-762-5905
Janet Massey,1085 38th St,1977-12-15,585-580-3696
Rachel Hanson,2871 E Park Ln,1950-03-30,806-385-7653
Donna Lisa Vang,1038B Union St,1994-07-11,838-871-7450
Madison Hoffman,419 3rd Ave,1964-10-04,914-658-1249
Billy Holden,1081 61st St,1990-01-11,838-483-9287
Lee Fox,182A W 77th St,1968-07-18,838-765-6988
Cynthia Lisa Reynolds,149-44 116th St,1975-09-15,680-675-1680
Jeremy Arias,318A Henry St,1976-12-20,516-762-8322
Michael Edwards,1139 Manor Ave,1966-03-13,315-723-1027
Lisa Price,63-33 182nd St,1994-11-10,716-467-9877
Christopher Hill,541 N Maple Dr,1987-12-11,517-303-0620
Michelle Chavez,756 E 102nd St,1995-07-01,680-912-3005
John Pena,172-19 126th Ave,1970-08-25,680-206-8806
Robert Griffin,344-24 Seagirt Blvd,1978-10-01,585-610-7777
Jennifer Gray,660 E 52nd St,1948-04-18,914-337-9196
Joseph Carroll,86-18 246th St,1939-08-05,716-335-3929
Donna Andrews,219 Van Name Ave,1969-10-01,332-403-1360
Eric Garcia,737 Neptune Ave,2001-12-24,585-872-0801
Kimberly Washington,233C E 86th St,1955-05-05,315-295-0506
Valerie Burnett,36A Cooper Pl,1944-06-09,315-352-9686
Christine Miller,67 Stanton St,1993-10-19,631-346-8716
Kevin Mejia,218 N 11th St,1950-11-17,315-865-3144
Chelsea Burch,874B Columbus Ave,1951-12-29,917-970-1253
Sara Carter,1708 E 10th St,1959-08-03,516-280-6468
Olivia Ramirez,4544 S Jackson Way,1983-01-01,659-717-0309
Danielle Hamilton,3411 NW Park Rd,1997-07-02,240-705-9319
Crystal Moore,328 Livonia Ave,1970-03-06,838-913-4170
Walter Lowery,584 W 57th St,1974-09-27,607-904-6427
Susan Barnes,15 Stanhope St,2001-12-14,838-751-5204
Ryan Duncan,475A Marion St,1951-10-10,838-708-3338
Kyle Chapman Jr.,434 Pulaski St,1951-08-16,716-898-6813
Elizabeth Cassandra Pierce,96-27 220th St,1990-05-15,516-309-0675
Deborah Silva,1032 Union St,1969-10-17,716-277-6176
Austin Harris,48-55 97th St,1978-11-02,516-573-5352
Mckenzie Klein,4133 Dogwood Dr,1947-03-19,423-382-0904
Jennifer Phillips,1148 63rd Dr,1986-12-10,561-481-3353
Kathleen Bates,801½ Amsterdam Ave,1949-09-18,914-504-8894
Thomas Bell,81 W Park St,1983-07-19,614-483-4143
Brenda Williams,3117 Broadway,1989-12-25,315-691-9315
Andrea Fitzpatrick,1408 Park Dr,1982-12-12,507-803-8211
Belinda Matthews,33 Travis Ave,1962-09-29,838-754-4279
Leslie Harris,12 SE 7th Way,1963-01-31,680-769-0556
Michael Hernandez,463A E Tremont Ave,1998-04-02,716-911-7730
Melanie Sandoval,286A Brooklyn Ave,1955-01-25,585-772-4823
Kristopher Valenzuela,887 Sutter Ave,1980-09-23,315-872-5633
Heather Anderson,2067 Park St SE,1991-05-14,332-503-8189
Christopher Smith,2708A Valentine Ave,1992-10-07,315-707-0452
Ashley Young,2872 4th St,1986-08-13,682-994-3421
Daniel Sullivan,2072 Cicero Ave,1992-12-12,332-330-2243
Morgan Davis,2674 Park Way N,1972-03-31,817-269-8040
Matthew Phelps,3096 W Lee St,1993-07-09,757-976-6332
Johnathan Bridges,931 Rhinelander Ave,1965-03-24,315-462-0145
Patricia Hays,88-22 82nd Ave,1986-09-16,332-304-1974
Tony Nguyen,22-20 45th St,1973-12-26,838-830-5263
Wanda Tate,717 Evergreen Ave,1982-12-20,315-643-0504
Jody Smith,120-27 Rockaway Beach Blvd,1937-10-25,838-955-3587
Michael Rocha,268A 20th St,1999-09-29,631-394-3476
David Fowler,2572 Neptune Ave,1947-06-24,585-827-1118
Kerri Schwartz,1536A White Plains Rd,1973-04-09,516-546-6854
Adam Diaz,43 Fulton St,1973-11-04,315-590-1792
Brett Perez,55-89 Main St,1995-03-30,315-242-2730
Daniel Potter,193 Naughton Ave,1965-07-05,518-508-8625
Marcus Adams,86-53 Eliot Ave,1958-10-23,315-532-1210
Cindy Ayers,4453 Oak Pl,2001-05-09,918-922-0512
Walter Miller,36-22 22nd St,1965-01-09,838-805-8173
Christopher Martinez,4769 52nd Rd,1952-08-31,850-543-5514
Jeremiah Johnson II,982 N Park Rd,1990-09-04,551-663-2953
Kathy Bright,4388 S Dogwood St,1980-12-19,762-214-2223
James Hicks,3604 4th Way,1972-03-21,763-461-7350
Shelby Cooper,150A E 105th St,1999-09-24,838-241-8054
Chad Arnold,42-50 Murray St,1990-04-13,631-252-0324
Dylan Brown,3780 Park Ave NW,1981-09-29,619-405-9660
Samantha Hill,181-46 Henley Rd,1992-03-06,914-645-6619
Shelia Gonzalez,86-24 55th Rd,1993-07-02,516-243-1846
Nicole Mcdonald,2828A W 16th St,1954-07-08,585-281-2409
Jonathan Gomez,157 W 88th St,1976-07-07,315-755-0547
Kimberly Brandt,40-59 163rd St,2000-07-13,838-228-7753
Derek Smith,576 11th Ave,1975-08-31,838-315-8529
Henry Peters,1354 NW Park Way,1960-08-17,682-745-6428
Diana Salas,451½ Wilson Ave,1943-11-08,585-614-4920
Teresa Cheryl Walls,386 N Park St,1991-06-28,959-839-9128
Daniel Vance,108-13 Rockaway Beach Dr,1987-05-02,315-335-0957
Victor Waters,2367 NW Park Ln,1975-02-24,617-844-7097
Alexis Garcia,1766 NE 96th Way,1968-04-18,813-863-2198
Matthew Johnson,11 Gracie Square,1960-05-25,516-749-4363
Andrew Rodriguez,101-12 Queens Blvd,1977-12-26,838-332-7089
Lisa Andrews,4913 S 3rd Ave,1979-03-20,913-614-8477
Sara Lane,1961 Harrison Ave,1995-03-27,914-748-2526
Kristi Thompson,4630 S Park St,1980-08-22,510-831-8780
Tonya Simon,2640 Jerome Ave,1990-02-17,516-527-9234
Nicole Wilkinson,362 Thomas S Boyland St,1966-02-05,516-917-7421
Brittany Lane,831 Maple Pl,1970-01-26,412-822-7972
Nicole Mejia,2231 W 2nd St,1964-09-17,315-770-1126
Sandra Wolfe,2557 Adam Clayton Powell Jr Blvd,1956-05-08,212-598-6515
Sarah Zimmerman,600 Armstrong Ave,1977-12-12,716-235-3939
Kimberly Barnett,3913-13 Prospect Ave,1981-02-23,631-887-2478
Michael Palmer Jr.,2644 Adam Clayton Powell Jr Blvd,1987-02-19,716-568-0773
Chad Garcia,1485B Lafayette Ave,1991-08-18,332-545-3012
Terri Payne,422 45th St,1976-12-18,607-607-3137
Marissa Jennifer Buckley,65-69 71st Ave,1965-01-03,315-467-6706
Carlos Guerrero,3294 S Park Ln,1996-09-09,253-633-1668
Alejandro Hill,129 Magnolia Pl W,2001-11-20,318-736-2574
Nick Donovan,4762 Murdock Ave,1971-03-14,585-609-1106
Jackie Vargas,1118 NW Park St,1960-06-21,845-338-5915
Richard Patterson,610 Knickerbocker Ave,1966-10-23,716-714-3053
Ashley Ochoa,1903 NW Park Ln,1983-10-29,779-440-9446
Julie Schneider,22A Ridgecrest Ave,1969-08-04,585-602-7162
Nathan Roberts II,950 E Park Ave,1972-07-23,765-590-7736
Katrina Long,1832 Rear Watson Ave,1954-05-18,716-683-8784
Mark Lara,1271 N Park Pl,1974-12-03,314-872-9903
Dennis Archer,700 Crown St,1948-03-05,716-598-2452
Angel Bush,131-13 97th St,1965-12-15,315-510-9507
Megan Elizabeth Estes,77-7 135th St,1993-08-30,838-819-0102
April Rice,33-5 69th St,1941-07-14,838-808-7374
William Smith,1440 Clay Ave,1989-08-06,838-550-0054
Thomas Herrera,58-17 Penrod St,1995-02-18,516-245-7837
Brian Collier,19A E Broadway,1952-01-14,347-973-2530
Peter Dudley,1239 Park Ln N,1968-05-14,680-675-1465
Tammy Hernandez,3990 Pine Way NW,1952-10-11,415-221-5963
Danielle Davis,1815 N 1st Rd,1980-06-03,803-322-4324
Michael Dawson,487 Front Heberton Ave,1972-03-01,838-213-2142
William Humphrey,4676 W 5th St,1990-09-20,386-824-0046
Lisa Ball,52D 11th Ave,1982-05-07,347-586-2679
Thomas Sampson,2261 Lee Ave N,2000-11-24,434-827-2622
Holly Sanchez,3211 Magnolia Pl,1970-02-22,985-318-8587
Jonathan Anderson,1435 NE 10th St,1945-06-24,689-799-5316
Kelly Johnson,2588 NE Park Ln,1993-06-18,251-412-6788
Deanna Cunningham,4279 Park St,1986-01-10,903-969-2987
Beth Rush,2843 S 7th Pl,1977-01-29,715-602-9681
Paul Summers,2693A Valentine Ave,1951-10-17,516-727-3100
Nick Gentry,4728 5th Ave SE,1992-03-01,415-379-3575
Christopher Jones,3144 Broadway,1982-08-27,315-646-0365
Donald Sparks,293B 12th St,1982-10-27,914-455-5189
Maurice Dixon,974F Prospect Ave,1980-12-19,718-249-9095
Cynthia Johnson,177-58 Troutville Rd,1953-02-06,838-914-5613
Brenda Roman,429 Rear E 114th St,1969-10-19,914-948-6548
Ricardo Mcintyre,58-6 30th Ave,1980-11-06,315-208-3188
Nathan Cervantes,2292 Ocean Ave,1939-06-25,718-969-1683
Jessica Murphy,78 Jefferson St,1963-05-28,585-624-0908
Sarah Walker,4058A Grace Ave,1966-01-25,838-573-1648
William Chapman,133-68 97th St,1976-07-03,585-303-3309
Heather Carey,883 Park Way,1987-11-06,765-828-2003
Erin Barbara Smith,137 W Kingsbridge Rd,1982-04-07,631-255-2767
David Nguyen,138B Watchogue Rd,1976-09-21,585-467-0363
Edward Flynn II,2605 Heath Ave,1996-02-06,315-481-7408
Emily Graham,3498D Broadway,1991-07-05,838-942-4012
Sabrina Serrano,1113 E 165th St,1954-07-05,585-201-3767
Alejandro Anderson,1584 Park Ave NW,1964-09-07,253-774-5961
Jonathan Smith,1276A Webster Ave,1958-01-28,838-403-2255
Sara Brown,159 Lewis Ave,1957-01-08,315-825-4679
Emily Wilson,368A Evergreen Ave,1985-06-20,838-234-6541
Jessica Harris,1637 Park Way S,1956-11-29,326-593-8069
Shannon Thompson,104-13 Queens Blvd,1985-10-14,315-917-2451
Katelyn Hernandez,3124 Park Way SE,1965-12-12,929-974-6843
Amy Davis,2588 Flint Ave,1990-06-10,680-712-4088
Amy Chapman,24-73 Brookhaven Ave,1946-06-02,631-230-3936
Mathew Green,4154A Grace Ave,1960-07-03,516-358-0376
Robin Jones,206 St Nicholas Ave,1975-08-20,838-262-7790
Patrick Page,72-32 Kissena Blvd,1949-04-05,315-681-7644
Carrie Anderson,1986 Bay Ridge Pkwy,1998-02-05,315-726-4446
Michael Turner,349 W 71st St,1999-03-06,917-646-4949
Debbie Brown,426 E 36th St,1970-06-19,516-509-5512
Lynn Greer,481A Columbus Ave,1998-09-15,680-397-6987
Christopher Sanders Jr.,1881A Linden Blvd,1956-09-01,516-912-8903
Cheyenne Jenkins,3293 Cypress Ave,1998-12-02,209-354-0164
Denise Kimberly Osborn,481 Park Pl,1940-09-24,516-886-6629
Julie Smith,937-1 Grand St,1994-02-15,838-972-5902
Charles Hess,178 Market St,1942-09-29,838-795-2320
Brooke Davis,2345 Plumb 1st St,1952-02-24,718-694-1802
Chad Price,165 NE 10th Rd,1990-02-02,986-668-5359
Donald Ramirez,2616 Park Dr,1974-09-15,314-613-9817
Carlos Davis,44-3 41st St,1952-10-07,631-205-7295
Christine Wolf,3921 2nd Dr W,1998-05-31,551-785-3665
Scott Harris Jr.,127-29 173rd St,1981-11-13,838-681-4935
Terri Pruitt,143-10 Oak Ave,1979-06-03,315-590-5524
Sean Cox,2924B Amboy Rd,1963-01-01,315-201-2037
Lisa Long,3644 SE Park St,1954-03-24,551-252-1647
Kari Hardy,2048 Union St,1973-01-03,315-781-3357
Emily Ellis,18 Gabriel Dr,1970-07-10,838-246-8012
Tracy Payne,395B W 44th St,1985-11-01,914-391-4347
Brenda Smith,13 Sutton Square,1992-04-04,838-781-5811
Scott Hensley,474B Crown St,1943-01-12,516-622-5663
Joseph Dunn,5770A 11th Ave,1962-02-21,914-548-4439
Debra Carol Orr,571 Park Way,1940-04-08,419-699-7377
Bailey Beth Davis,26A Washington Sq N,1955-11-25,631-469-4882
Caitlin Mcconnell,6161 Spencer Ave,1988-12-03,518-705-3759
Nicole Wilson,4161 Magnolia Ave SW,1984-08-09,601-661-7275
Kaylee Schmidt,2008A Jerome Ave,1956-12-30,680-222-5659
Olivia Brown,78-4 32nd Ave,1983-11-21,585-746-3010
Gabriela Peters,1074 41st St,1961-11-16,607-699-2205
Curtis Coleman III,1151 NE Dogwood Way,1987-12-22,423-761-0610
Darrell Adams Jr.,45-2 47th St,1988-11-01,680-517-7755
Mark Johnson,2000A Powell Ave,1990-07-12,607-384-0812
Gina Greene,11 Wade Square,1948-04-16,516-453-6855
Angela Zimmerman,692 E Fordham Rd,1979-05-28,315-226-2376
Stephanie Cochran,143-40 Sanford Ave,1967-01-19,315-660-6695
Tyler Simon,504 Rear Willowbrook Rd,1964-05-13,716-428-0373
Autumn Frazier,3220 Henry Hudson Pkwy E,1995-04-09,585-507-3776
Amber Rebecca Stephens,1235A Nelson Ave,1961-09-04,631-546-4687
Brandon Mckee,2020 NW Willow St,1985-02-21,805-751-6025
Gregory Weber,4460 NW Park Rd,1991-11-28,240-699-1132
Ashley Price,382C W 125th St,1983-09-01,315-380-5975
Jonathan Henderson,1225 9th St,1962-08-12,534-398-1523
Alan Marquez,1464 George St,1960-12-09,914-201-7714
Tracy Cain,217-50 114th Ave,1984-01-19,585-382-3463
Amanda Becker,4062 SW Dogwood Rd,1966-05-09,336-544-7555
Melissa Li,246-48 Jericho Turnpike,1972-04-15,212-707-7105
Andrew Short,144-67 Bayside Ave,1984-02-18,315-274-7708
Luis Castillo,44A W 100th St,1966-04-04,838-560-6882
Michelle Nguyen,4029 NW 13th Rd,1983-12-07,442-470-6902
Barbara Ruiz,3907 Park Dr,1990-05-28,660-717-9207
William Crane,1872 Madison Pl,2001-01-18,680-471-6699
Teresa Smith,99-17 76th Ave,1951-09-28,212-470-3454
Valerie Mclaughlin,1167 Edison Ave,1982-12-24,585-974-8864
Jason Moore,250 8th St,1959-04-13,929-321-7124
Lindsey Mays,81A Mulberry St,1964-07-20,631-280-4337
Damon Brooks,771 Garden St,1969-03-12,516-753-7459
Christopher Hall,963B E 149th St,1965-08-13,646-338-5929
Chelsea Rhodes,3062 N 10th Ave,1963-05-08,480-502-9467
Karen Griffith,2419 N 4th St,1992-07-23,682-845-8232
Meagan Washington,498 W 57th St,1981-07-16,347-618-4505
Lisa Barton,384 E 23rd St,1993-06-23,315-652-5274
Ryan Garza,871F E 138th St,1954-08-22,516-902-9412
Kaitlyn Turner,7125 12th Ave,1942-05-27,332-333-0430
William Lawson Jr.,3429 Decatur Ave,1973-05-22,516-275-6835
Kimberly Graham,90-45 91st Ave,1978-11-08,716-360-4019
Philip Gillespie,2045 21st Dr,1991-01-31,212-845-1773
Jeremy Lang,560 W 115th St,1980-03-03,315-852-5311
Bradley Wright,85-18 56th Ave,1969-04-04,516-982-6021
Peter Collier Jr.,29D Wall St,1971-01-03,315-497-8970
Kara Brown,1457A St Nicholas Ave,1954-04-23,516-767-2549
Katelyn Bowen,459 62nd St,1999-06-25,716-646-2710
Nicole Jennings,2515 E Oak Pl,1976-10-01,659-531-3880
Lindsey Rangel,126-47 Jamaica Ave,1971-09-03,516-892-5951
Patrick Wilson Jr.,964 39th St,1985-08-24,585-387-8659
Tammy Hicks,236A Thomas S Boyland St,1997-09-02,315-848-5361
Brenda Ward,1810 Lexington Ave,1997-08-21,516-647-2687
Melissa Mills,1096 1st Ave SE,1971-04-07,725-841-7585
Thomas Johnson,3835 Maple Ln NW,1993-12-09,717-519-8396
Eric Tucker,209 Greenwood Ave,1957-09-29,838-474-6532
Steve Wright,959 Woodycrest Ave,1943-12-08,914-601-7149
Amy Cantrell,533 Union Ave,1999-03-18,347-264-6023
Lisa Evans,83-16 Queens Blvd,1996-01-05,315-250-8897
Joseph Rivas,2948 Throop Ave,1966-10-22,716-852-7210
Jason Wilson,45-32 76th St,1957-09-18,332-685-6842
Diane Lozano,1747 Holland Ave,1960-12-10,585-469-1339
Deborah Macias,214-34 51st Ave,1976-03-29,934-393-8130
Patrick Meza,1600 E 43rd St,1981-04-12,914-858-2407
Ryan Sanchez Jr.,4540 NW Park Dr,1955-05-12,832-780-8010
Rachel Payne,93 Rochester Ave,2000-04-30,917-972-6790
Eric Cohen,2 Van Siclen Ct,1964-11-22,631-375-7794
Kimberly Nelson,2818 Brown St,1999-05-27,516-617-8858
Jessica Roberts,2966 SW 7th Ln,1949-03-26,838-398-9793
Ryan Jones,119-56 227th St,1968-11-30,516-886-2246
Samantha Linda Hodges,1317 Airport Dr,1954-05-05,907-929-4838
Ann Humphrey,2785F White Plains Rd,1960-01-17,516-505-0528
Bonnie Walsh,15 Elmira Ave,1999-06-29,631-279-4990
Jacqueline Davidson,22 Canton Ct,1959-11-23,516-748-6986
Cathy Huffman,2767 NW Oak Ave,1973-11-10,279-884-9842
Phillip Miller,2679 National Dr,1948-07-03,680-407-9850
Casey Miller,4472-98 Putnam Ave,1989-07-12,516-429-9546
Danny Becker,399 Flatbush Ave,1990-09-23,315-929-0614
Robert Elliott,221½ Clarke Ave,2001-07-06,838-948-1602
Jesse Heath Jr.,2532 Park Dr,1952-12-13,458-830-6871
Nicole Cox,211 N 12th St,1997-12-18,585-896-3546
Kristen Sanchez,882 E 104th St,1998-01-27,585-284-3716
Jessica Maldonado,93 Freeman St,1964-12-07,845-516-3149
Sarah Singh,75 Adrian Ave,1986-02-16,332-396-7864
Vanessa Rebecca Matthews,32-34 204th St,2001-08-07,516-475-1510
Raymond Callahan Jr.,125 82nd Dr,1992-03-04,516-328-9500
Matthew Ward,220A Gates Ave,1990-02-13,315-623-4553
Lauren Madison Baker,3071 SW Navajo Ln,1953-10-26,480-454-0952
Carrie Alicia Rice,3130 Maple St,1950-09-05,517-950-3411
Christina Price,4050 Bell Ave,1987-08-14,914-294-6600
Adam Rios,95 W 175th St,2001-05-03,315-493-0646
Katelyn Cooper,308 E 96th St,1983-02-02,347-580-1208
Kelly Mcguire,3785 E 3rd Dr,1989-03-10,254-479-6789
Melissa Lowe,166-29 N Conduit Ave,1954-03-21,914-459-9683
Kim Greene,49-5 64th St,1980-03-30,838-905-7191
Marie Meagan Best,2449A Lodovick Ave,1963-06-26,838-414-4099
Kevin Romero,42-18 94th St,1973-01-17,516-285-2636
Wayne Mccarty,253 E 50th St,1965-11-08,838-704-5564
Justin Jones Jr.,2085 12th Pl S,1971-11-23,279-765-0410
Rachel Willis,87-63 55th Ave,1949-01-05,516-684-8136
Carol Summer Miller,655 SW Dogwood Pl,1969-01-05,912-928-3761
Kyle Alvarez,224 Wieland Ave,1955-05-23,845-623-8081
Brooke Johnson,1754A E Tremont Ave,1968-05-02,838-836-8376
Jeffrey Hughes,4753 NW Park Ave,1960-12-23,713-563-9431
Jacqueline Burke,26-1 21st Ave,1947-06-21,838-713-4139
James Smith,165-83 Gipson St,2001-05-26,315-535-5787
Joseph Dyer,13 E 130th St,1998-02-28,838-784-2100
Cynthia Ward,402A W 30th St,1967-06-11,315-325-7275
Jack Haas,423 Rear Albany Ave,1951-09-16,631-852-6950
Rachel West,1719 Mansion St,1963-12-13,516-305-7793
Melvin Hawkins,68-42 186th Ln,1984-10-29,631-798-9886
David Clark Jr.,100 Pulaski St,1960-08-01,718-272-2128
Shaun Gonzales,154 Dover St,1993-07-19,585-713-7217
Thomas Martinez,61-7 136th St,1963-06-30,516-480-5214
Timothy Harrison,204A W 136th St,1987-05-26,838-940-5650
Shawn Sanchez,1075½ Amsterdam Ave,1991-03-14,838-741-9804
John Cunningham,1055 W 13th Dr,1992-06-22,480-674-6043
Brian Baker,149 Herzl St,1982-04-20,716-332-8444
Dana Mccoy,491½ Henry St,1951-09-13,585-382-1033
James Phillips,2970A Frederick Douglass Blvd,1995-02-23,516-692-8014
Stephen Jones,4824 SE Park Ln,1953-06-21,442-769-6661
William Bennett,450A Madison St,2000-03-16,516-933-4604
Jonathan Chapman,111-7 Sutphin Blvd,1974-05-05,914-423-7234
Ann Lewis,2005 Barnes Ave,1960-03-18,607-512-6990
Darren Conner,112-1 86th Ave,1953-12-31,716-297-3101
Samantha Burch,9A Prospect Park Sw,1995-01-31,914-514-5944
Cameron Hall,188 N 7th St,1985-05-11,585-905-2267
John Contreras,266A E 23rd St,1977-11-03,516-711-2379
Garrett Schaefer,1389 Ave Y,1997-08-31,315-339-7776
Sean Nelson,2045 Rear Washington Ave,1976-05-03,585-228-4901
Nick Cohen,52 Almond St,1990-01-06,585-635-1113
Elizabeth Stephens,1027A 39th St,1957-11-30,838-861-1239
Julie Walsh,1336 Rogers Ave,1983-04-08,680-492-8062
Sergio White,109 Fulton St,1958-02-01,838-842-3915
Ashley Choi,674A 67th St,1996-02-20,516-254-3605
Angela Long,488A Hart St,1951-01-23,585-609-2144
Lucas Jones,1171 Park Way W,1961-08-01,937-409-2938
